Nodes,Genes
A_KINETOCHORES,Not_assigned
AKT_B,AKT1
AKT_H,Not_assigned
ATR,ATR
BAD,BAD
BAK,Not_assigned
BAX,BAX
BCL2,BCL2
BCLXL,BCL2L1
BID,BID
BIK,BIK
BIM,BCL2L11
Ca2,CA2
CAD,CAD
Casp2,CASP2
Casp3,CASP3
Casp8,CASP8
Casp9,CASP9
Cdc20,CDC20
Cdc25A,CDC25A
Cdc25B,CDC25B
Cdc25C,CDC25C
Cdc6,CDC6
Cdh1,CDH1
Cdk1,CDK1
Cdt1,CDT1
CHK1,CHEK1
CyclinA,Not_assigned
CyclinA_MRNA,CCNA1
CyclinB,CCNB1
CyclinD1,CCND1
CyclinE,CCNE1
Cyto_C,Not_assigned
DAG,Not_assigned
DR4_5,Not_assigned
E2F1,E2F1
Ect2,ECT2
eIF4E,EIF4E
Emi1,Not_assigned
ERK,Not_assigned
f4N_DNA,Not_assigned
FoxM1,FOXM1
FoxO1,FOXO1
FoxO3,FOXO3
G0G1_entry,Not_assigned
G2M_entry,Not_assigned
geminin,Not_assigned
GF,Not_assigned
GF_HIGH,Not_assigned
Grb2,GRB2
GSK3,GSK3B
IAPs,Not_assigned
IP3,Not_assigned
Mad2,Not_assigned
MCL_1,Not_assigned
MEK,Not_assigned
mTORC1,MTOR
mTORC2,RICTOR
Myc,MYC
NeddL4,NEDDL4
ORC,Not_assigned
p110_H,Not_assigned
p21,Not_assigned
p21_MRNA,CDKN1A
p27Kip1,CDKN1B
pAPC,Not_assigned
PDK1,PDK1
PI3K,PIK3CA
PI3K_H,Not_assigned
PIP3,Not_assigned
PLCgamma,Not_assigned
Plk1,PLK1
Plk1_H,Not_assigned
PRAS40,AKT1S1
pRB,Not_assigned
Pre_RC,Not_assigned
RAF,BRAF
Ras,KRAS
REPLICATION,Not_assigned
Rheb,RHEB
RTK,Not_assigned
S_entry,Not_assigned
S6K,RPS6KB1
SMAC,Not_assigned
SOS,Not_assigned
Trail,TNFSF10
TSC2,TSC2
U_KINETOCHORES,Not_assigned
UbcH10,UBCH10
Wee1,WEE1
